data_id,data_name,allocation_method,routing_heuristic,merge_strategy,allocation_time,allocation_bytes,route_time,route_bytes,merge_time,merge_bytes,distance,sum_pickers
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,MESSAGE_PASSING,ASTAR_HEURISTIC,CLARKE_WRIGHT,12.4065058,132433871,0.0087619,1830926,2.6967022,4726225703,1110.0,7
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,MESSAGE_PASSING,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,12.4065058,132433871,0.0060261,1831054,0.0021114,1680542,1854.0,8
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,MESSAGE_PASSING,ASTAR_HEURISTIC,NO_HEURISTIC,12.4065058,132433871,0.004267,1830878,0.0,0,4890.0,104
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,MESSAGE_PASSING,GREEDY,CLARKE_WRIGHT,12.4065058,132433871,0.0037151,713822,2.6038514,4551085383,1098.0,7
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,MESSAGE_PASSING,GREEDY,CLARKE_WRIGHT_HEURISTIC,12.4065058,132433871,0.0032161,713998,0.0016814,1604654,1500.0,8
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,MESSAGE_PASSING,GREEDY,NO_HEURISTIC,12.4065058,132433871,0.0035014,713822,0.0,0,4662.0,104
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ALS,ASTAR_HEURISTIC,CLARKE_WRIGHT,7.2226615,152181376,0.0060643,1762302,2.5644515,4619739637,996.0,6
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ALS,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,7.2226615,152181376,0.0041815,1762462,0.0024217,1601118,1276.0,6
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ALS,ASTAR_HEURISTIC,NO_HEURISTIC,7.2226615,152181376,0.0047251,1762350,0.0,0,4410.0,104
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ALS,GREEDY,CLARKE_WRIGHT,7.2226615,152181376,0.0050088,701774,2.6449211,4634661285,936.0,6
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ALS,GREEDY,CLARKE_WRIGHT_HEURISTIC,7.2226615,152181376,0.0044657,702174,0.0021449,1566398,1156.0,6
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ALS,GREEDY,NO_HEURISTIC,7.2226615,152181376,0.003144,701790,0.0,0,4176.0,104
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ABC,ASTAR_HEURISTIC,CLARKE_WRIGHT,0.3820335,56666951,0.0076143,1702494,2.3561607,3969929589,684.0,6
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ABC,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,0.3820335,56666951,0.0041012,1702654,0.0016421,1538414,1050.0,8
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ABC,ASTAR_HEURISTIC,NO_HEURISTIC,0.3820335,56666951,0.0037941,1702494,0.0,0,2640.0,104
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ABC,GREEDY,CLARKE_WRIGHT,0.3820335,56666951,0.0040536,678478,2.1944056,3788200437,606.0,11
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ABC,GREEDY,CLARKE_WRIGHT_HEURISTIC,0.3820335,56666951,0.0031716,678894,0.0018508,1453310,934.0,7
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ABC,GREEDY,NO_HEURISTIC,0.3820335,56666951,0.0031549,678526,0.0,0,2590.0,104
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,CLARKE_WRIGHT,0.3732656,57381472,0.0088499,1799182,2.5868825,4310800711,800.0,6
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,0.3732656,57381472,0.0057092,1799310,0.0021796,1593342,1292.0,7
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,NO_HEURISTIC,0.3732656,57381472,0.0044622,1799134,0.0,0,2870.0,104
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ABC_HEURISTIC,GREEDY,CLARKE_WRIGHT,0.3732656,57381472,0.0035459,669214,2.1694243,3637165125,634.0,6
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ABC_HEURISTIC,GREEDY,CLARKE_WRIGHT_HEURISTIC,0.3732656,57381472,0.003058,669310,0.0016497,1515886,1066.0,7
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,ABC_HEURISTIC,GREEDY,NO_HEURISTIC,0.3732656,57381472,0.0035447,669182,0.0,0,2676.0,104
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,MESSAGE_PASSING,ASTAR_HEURISTIC,CLARKE_WRIGHT,9.3145516,159529428,0.0059573,1695550,2.5322827,4477746871,842.0,6
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,MESSAGE_PASSING,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,9.3145516,159529428,0.0043114,1695694,0.0029641,1603486,1442.0,7
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,MESSAGE_PASSING,ASTAR_HEURISTIC,NO_HEURISTIC,9.3145516,159529428,0.0044404,1695502,0.0,0,3776.0,104
5,SLAPRP_Guo_small_O100_alpha0.2_v4.txt,MESSAGE_PASSING,GREEDY,CLARKE_WRIGHT,9.3145516,159529428,0.0051971,678254,2.3567179,4195130919,820.0,6
