data_id,data_name,do_abc,do_allocation,do_message_passing,do_cw,allocation_time,allocation_bytes,route_time,route_bytes,cw_time,cw_bytes,distance,sum_pickers
24,SLAPRP_Guo_small_O100_alpha0.4_v3.txt,false,true,true,true,56.013831,95738219,0.0013035,685463,1.1778962,2995394983,308.0,7
24,SLAPRP_Guo_small_O100_alpha0.4_v3.txt,false,true,false,false,4.2302022,87957225,0.0013319,664023,0,0,2450.0,101
24,SLAPRP_Guo_small_O100_alpha0.4_v3.txt,false,true,false,true,4.2302022,87957225,0.0013319,664023,1.2875017,3186176197,386.0,8
25,SLAPRP_Guo_small_O100_alpha0.4_v4.txt,true,true,false,false,0.2059872,24503464,0.0013883,739463,0,0,1660.0,105
25,SLAPRP_Guo_small_O100_alpha0.4_v4.txt,true,true,false,true,0.2059872,24503464,0.0013883,739463,1.4420448,3438532343,226.0,8
25,SLAPRP_Guo_small_O100_alpha0.4_v4.txt,false,true,true,false,10.6675625,94836123,0.0035632,730327,0,0,1966.0,105
25,SLAPRP_Guo_small_O100_alpha0.4_v4.txt,false,true,true,true,10.6675625,94836123,0.0035632,730327,1.583739,3684388805,294.0,7
25,SLAPRP_Guo_small_O100_alpha0.4_v4.txt,false,true,false,false,3.7083949,87936185,0.0013843,700599,0,0,2688.0,105
25,SLAPRP_Guo_small_O100_alpha0.4_v4.txt,false,true,false,true,3.7083949,87936185,0.0013843,700599,1.4414803,3523970741,410.0,8
26,SLAPRP_Guo_small_O100_alpha0.4_v5.txt,true,true,false,false,0.1974346,24478120,0.0012012,658215,0,0,1436.0,102
26,SLAPRP_Guo_small_O100_alpha0.4_v5.txt,true,true,false,true,0.1974346,24478120,0.0012012,658215,1.2206769,3116743847,208.0,7
26,SLAPRP_Guo_small_O100_alpha0.4_v5.txt,false,true,true,false,57.9979828,698616119,0.001928,666199,0,0,1656.0,102
26,SLAPRP_Guo_small_O100_alpha0.4_v5.txt,false,true,true,true,57.9979828,698616119,0.001928,666199,1.236862,3017229669,258.0,7
26,SLAPRP_Guo_small_O100_alpha0.4_v5.txt,false,true,false,false,5.978819,690827861,0.0011695,629351,0,0,2380.0,102
26,SLAPRP_Guo_small_O100_alpha0.4_v5.txt,false,true,false,true,5.978819,690827861,0.0011695,629351,1.2119587,3053528981,370.0,6
27,SLAPRP_Guo_small_O100_alpha0.4_v6.txt,true,true,false,false,0.2073292,24588440,0.0013879,725687,0,0,1690.0,100
27,SLAPRP_Guo_small_O100_alpha0.4_v6.txt,true,true,false,true,0.2073292,24588440,0.0013879,725687,1.2827238,3048669893,234.0,6
27,SLAPRP_Guo_small_O100_alpha0.4_v6.txt,false,true,true,false,7.2907087,82605169,0.0013254,693687,0,0,1754.0,100
27,SLAPRP_Guo_small_O100_alpha0.4_v6.txt,false,true,true,true,7.2907087,82605169,0.0013254,693687,1.5966773,3055926469,270.0,6
27,SLAPRP_Guo_small_O100_alpha0.4_v6.txt,false,true,false,false,11.1979995,76094351,0.0021023,692119,0,0,1784.0,100
27,SLAPRP_Guo_small_O100_alpha0.4_v6.txt,false,true,false,true,11.1979995,76094351,0.0021023,692119,1.2144834,3048196949,294.0,7
28,SLAPRP_Guo_small_O100_alpha0.4_v7.txt,true,true,false,false,0.2002598,24349560,0.0014154,745799,0,0,1856.0,100
28,SLAPRP_Guo_small_O100_alpha0.4_v7.txt,true,true,false,true,0.2002598,24349560,0.0014154,745799,1.2621203,3123762199,234.0,7
